gene-symbol	gene-score	syndromic
ABCA10	4	0
ABCA13	4	0
ABCA7	4	0
ACE	4	0
ACHE	3	0
ADA	3	0
ADARB1	5	0
ADCY3	3	0
ADCY5	4	0
ADK	4	0
ADNP	1	1
ADORA3	4	0
ADSL	NA	1
AFF2	4	0
AFF4	6	0
AGAP1	4	0
AGAP2	3	0
AGBL4	4	0
AGMO	4	0
AGO1	3	0
AGTR2	4	0
AHDC1	3	1
AHI1	NA	1
AKAP9	3	0
ALDH1A3	NA	1
ALDH5A1	NA	1
AMPD1	3	0
AMT	3	0
ANK2	1	0
ANK3	3	0
ANKRD11	2	1
ANXA1	3	0
AP1S2	NA	1
APBA2	4	0
APBB1	3	0
APC	5	0
APH1A	3	0
ARHGAP15	6	0
ARHGAP24	5	0
ARHGAP32	4	0
ARHGAP33	5	0
ARHGAP5	4	0
ARHGEF10	4	0
ARHGEF9	4	1
ARID1B	1	1
ARNT2	4	0
ARX	NA	1
ABAT	4	0
ACTN4	4	0
ACY1	NA	0
ADAMTS18	5	0
ADORA2A	4	0
ADRB2	4	0
ALG6	NA	1
ALOX5AP	5	0
ANKS1B	4	0
ARHGAP11B	4	0
ASAP2	3	0
ASH1L	1	0
ASMT	4	0
ASPM	3	0
ASTN2	3	0
AMBRA1	5	0
APP	5	0
AR	4	0
ASS1	5	0
ASXL3	1	1
ATG7	5	0
ATP10A	3	0
ATP1A1	4	1
ATP1A3	4	1
ATP2B2	3	0
ATP6V0A2	4	0
ATP8A1	5	0
ATRNL1	5	0
ATRX	4	0
ATXN7	5	0
AUTS2	3	0
AVP	5	0
AVPR1A	3	0
AVPR1B	4	0
AZGP1	4	0
BAIAP2	5	0
BAZ2B	2	0
BBS4	4	0
BCKDK	2	0
BCL11A	2	1
BCL2	6	0
BDNF	5	0
BIRC6	4	0
BRAF	NA	1
BRCA2	4	0
BRD4	4	0
BRINP1	5	0
BST1	4	0
BTAF1	3	0
C12orf57		1
C15orf62	4	0
C3orf58	4	0
C4B	4	0
CA6	4	0
CACNA1A	NA	1
CACNA1C	NA	1
BICDL1	4	0
CACNA1D	2	0
CACNA1E	3	0
CACNA1F	4	0
CACNA1G	4	0
CACNA1H	2	0
CACNA1I	4	0
CACNA2D3	2	0
CACNB2	3	0
CADM1	4	0
CADM2	4	0
CADPS2	4	0
CAMK2A	4	1
CAMK2B	NA	1
CAMK4	4	0
CAMSAP2	5	0
CAMTA1	5	0
CAPN12	4	0
CAPRIN1	3	0
CARD11	4	0
CASC4	4	0
CASK	4	0
CBLN1	5	0
CC2D1A	3	0
CCDC88C	4	0
CCDC91	4	0
CCT4	3	0
CD276	4	0
CD38	4	0
CD44	5	0
CD99L2	4	0
CDC42BPB	3	0
CDH10	4	0
CDH11	4	0
CDH22	4	0
CDH8	4	0
BCAS1	4	0
BIN1	NA	0
CACNA1B	4	0
CACNA2D1	4	0
CBS	6	0
CCNG1	3	0
CCNK	NA	1
CDH13	3	0
CDH9	4	0
CDK13	NA	1
CDKL5	NA	1
CDKN1B	5	0
CECR2	4	0
CELF4	3	0
CELF6	4	0
CEP135	3	0
CEP290	4	1
CEP41	3	0
CGNL1	3	0
CHD1	4	1
CHD2	1	1
CHD5	5	0
CHD7	NA	1
CHD8	1	1
CHKB	NA	1
CHMP1A	3	0
CHRM3	4	0
CHRNA7	3	0
CHRNB3	4	0
CHST5	6	0
CIB2	3	0
CIC	2	1
CLASP1	3	0
CLN8	4	0
CLSTN2	5	0
CLSTN3	5	0
CLTCL1	4	0
CMIP	4	0
CNGB3	4	0
CNKSR2	3	1
CNOT3	2	1
CNR1	3	0
CNR2	5	0
CNTN4	2	0
CNTN5	3	0
CNTN6	3	0
CNTNAP2	2	1
CNTNAP4	3	0
CNTNAP5	4	0
COL28A1	4	0
CPT2	4	0
CREBBP	5	0
CHD3	4	1
CNTN3	4	0
CNTNAP3	4	0
CRHR2	5	0
CSMD1	4	0
CSNK1D	6	0
CSNK1E	4	0
CTCF	3	0
CTNNA3	4	0
CTNNB1	3	0
CTNND2	2	0
CTTNBP2	3	0
CUL3	1	0
CPEB4	3	0
CTNNA2	NA	1
CUL7	3	0
CUX1	2	0
CUX2	4	1
CX3CR1	4	0
CXCR3	5	0
CYFIP1	3	0
CYLC2	4	0
CYP11B1	4	0
CYP27A1	NA	1
DAB1	5	0
DAGLA	4	0
DAPK1	5	0
DAPP1	3	0
DCTN5	5	0
DDX3X	2	1
DDX53	4	0
DEAF1	2	1
DENR	3	0
DEPDC5	NA	1
DHCR7	NA	1
DHX30	NA	1
DIAPH3	5	0
DIP2A	3	0
DIP2C	2	0
DISC1	3	0
